method,fillPerc,confidence,leaves,treeSize,performanceValidation,performanceTraining
moda,0.00,0.0010,7,13,51.278,52.5071
moda,0.00,0.0250,249,497,56.4696,70.0667
moda,0.00,0.0500,401,801,58.3067,76.816
moda,0.00,0.0750,444,887,58.5463,78.3794
moda,0.00,0.1000,542,1083,58.7061,81.735
moda,0.00,0.1250,566,1131,58.8658,82.4404
moda,0.00,0.1500,592,1183,59.1054,83.0505
moda,0.00,0.1750,614,1227,58.7061,83.6034
moda,0.00,0.2000,643,1285,58.7859,84.3089
moda,0.00,0.2250,654,1307,58.6262,84.4995
moda,0.00,0.2500,668,1335,58.6262,84.8046
moda,0.00,0.2750,682,1363,58.5463,85.0143
moda,0.00,0.3000,691,1381,58.4665,85.1859
moda,0.00,0.3250,709,1417,58.3067,85.6244
moda,0.00,0.3500,714,1427,58.3067,85.7197
moda,0.00,0.3750,717,1433,58.3866,85.7769
moda,0.00,0.4000,735,1469,57.9073,86.1392
moda,0.00,0.4250,736,1471,57.9073,86.1582
moda,0.00,0.4500,738,1475,57.9872,86.1964
moda,0.00,0.4750,741,1481,57.9073,86.2345
moda,0.00,0.5000,747,1493,57.7476,86.3298
moda,2.50,0.0010,7,13,51.278,52.469
moda,2.50,0.0250,297,593,54.393,72.3356
moda,2.50,0.0500,435,869,55.5911,78.6845
moda,2.50,0.0750,466,931,55.7508,79.6949
moda,2.50,0.1000,534,1067,56.0703,82.04
moda,2.50,0.1250,554,1107,56.23,82.5929
moda,2.50,0.1500,577,1153,56.7891,83.2793
moda,2.50,0.1750,632,1263,55.6709,84.6902
moda,2.50,0.2000,679,1357,56.23,85.7579
moda,2.50,0.2250,696,1391,56.1502,86.082
moda,2.50,0.2500,709,1417,56.0703,86.3298
moda,2.50,0.2750,724,1447,56.3898,86.5777
moda,2.50,0.3000,735,1469,56.3099,86.7493
moda,2.50,0.3250,747,1493,56.1502,87.0162
moda,2.50,0.3500,752,1503,56.1502,87.0925
moda,2.50,0.3750,752,1503,56.1502,87.0925
moda,2.50,0.4000,767,1533,55.6709,87.3975
moda,2.50,0.4250,768,1535,55.6709,87.4166
moda,2.50,0.4500,769,1537,55.7508,87.4357
moda,2.50,0.4750,776,1551,55.6709,87.531
moda,2.50,0.5000,782,1563,55.5112,87.6072
moda,5.00,0.0010,7,13,51.278,52.45
moda,5.00,0.0250,280,559,55.3514,71.7636
moda,5.00,0.0500,425,849,56.6294,78.3413
moda,5.00,0.0750,487,973,57.2684,80.5148
moda,5.00,0.1000,545,1089,57.0288,82.4976
moda,5.00,0.1250,561,1121,57.508,82.9361
moda,5.00,0.1500,586,1171,57.7476,83.5844
moda,5.00,0.1750,605,1209,57.7476,84.0038
moda,5.00,0.2000,651,1301,57.508,85.0334
moda,5.00,0.2250,696,1391,57.8275,86.0439
moda,5.00,0.2500,711,1421,57.8275,86.3298
moda,5.00,0.2750,719,1437,57.8275,86.4633
moda,5.00,0.3000,729,1457,57.8275,86.673
moda,5.00,0.3250,740,1479,57.7476,86.9018
moda,5.00,0.3500,746,1491,57.7476,87.0353
moda,5.00,0.3750,746,1491,57.7476,87.0353
moda,5.00,0.4000,760,1519,57.3482,87.3403
moda,5.00,0.4250,762,1523,57.4281,87.3594
moda,5.00,0.4500,765,1529,57.7476,87.3785
moda,5.00,0.4750,768,1535,57.6677,87.4166
moda,5.00,0.5000,778,1555,57.4281,87.5119
moda,7.50,0.0010,7,13,51.278,52.469
moda,7.50,0.0250,283,565,56.1502,71.7827
moda,7.50,0.0500,413,825,57.508,77.5024
moda,7.50,0.0750,462,923,57.508,79.2946
moda,7.50,0.1000,564,1127,57.6677,82.612
moda,7.50,0.1250,578,1155,57.508,83.0505
moda,7.50,0.1500,595,1189,57.5879,83.5272
moda,7.50,0.1750,643,1285,57.4281,84.8808
moda,7.50,0.2000,664,1327,57.7476,85.4147
moda,7.50,0.2250,685,1369,57.6677,85.8151
moda,7.50,0.2500,693,1385,57.6677,85.9485
moda,7.50,0.2750,718,1435,57.8275,86.2917
moda,7.50,0.3000,726,1451,57.9073,86.4633
moda,7.50,0.3250,735,1469,57.9073,86.6158
moda,7.50,0.3500,739,1477,57.8275,86.6921
moda,7.50,0.3750,745,1489,57.6677,86.8065
moda,7.50,0.4000,754,1507,57.2684,86.9399
moda,7.50,0.4250,757,1513,57.4281,86.9781
moda,7.50,0.4500,763,1525,57.508,87.0543
moda,7.50,0.4750,768,1535,57.5879,87.1306
moda,7.50,0.5000,773,1545,57.5879,87.1878
moda,10.00,0.0010,7,13,51.278,52.4881
moda,10.00,0.0250,278,555,55.4313,71.592
moda,10.00,0.0500,426,851,55.9105,78.1125
moda,10.00,0.0750,534,1067,56.7093,82.0782
moda,10.00,0.1000,549,1097,57.1086,82.5548
moda,10.00,0.1250,575,1149,57.0288,83.3365
moda,10.00,0.1500,599,1197,55.7508,83.9276
moda,10.00,0.1750,682,1363,55.8307,86.1964
moda,10.00,0.2000,720,1439,56.6294,87.0353
moda,10.00,0.2250,730,1459,56.5495,87.2259
moda,10.00,0.2500,736,1471,56.7093,87.3785
moda,10.00,0.2750,759,1517,56.9489,87.7407
moda,10.00,0.3000,766,1531,56.7891,87.8551
moda,10.00,0.3250,771,1541,56.7093,87.9695
moda,10.00,0.3500,777,1553,56.7891,88.103
moda,10.00,0.3750,777,1553,56.7891,88.103
moda,10.00,0.4000,789,1577,56.7891,88.2745
moda,10.00,0.4250,790,1579,56.7891,88.2936
moda,10.00,0.4500,796,1591,56.7891,88.408
moda,10.00,0.4750,801,1601,56.9489,88.4843
moda,10.00,0.5000,807,1613,56.9489,88.5796
moda,12.50,0.0010,7,13,51.278,52.5453
moda,12.50,0.0250,267,533,56.23,71.3441
moda,12.50,0.0500,399,797,57.508,77.4071
moda,12.50,0.0750,475,949,57.6677,80.1525
moda,12.50,0.1000,526,1051,57.4281,81.6397
moda,12.50,0.1250,571,1141,57.2684,82.898
moda,12.50,0.1500,609,1217,57.4281,83.9847
moda,12.50,0.1750,649,1297,57.508,84.9571
moda,12.50,0.2000,679,1357,57.6677,85.6435
moda,12.50,0.2250,690,1379,57.2684,85.8532
moda,12.50,0.2500,694,1387,57.2684,85.8723
moda,12.50,0.2750,708,1415,57.6677,86.2154
moda,12.50,0.3000,719,1437,57.6677,86.4633
moda,12.50,0.3250,741,1481,57.2684,86.8827
moda,12.50,0.3500,746,1491,57.2684,86.959
moda,12.50,0.3750,749,1497,57.3482,87.0543
moda,12.50,0.4000,759,1517,57.4281,87.2259
moda,12.50,0.4250,764,1527,57.4281,87.3022
moda,12.50,0.4500,770,1539,57.6677,87.3975
moda,12.50,0.4750,774,1547,57.9872,87.4738
moda,12.50,0.5000,779,1557,57.9872,87.5119
moda,15.00,0.0010,8,15,51.278,52.6787
moda,15.00,0.0250,267,533,55.3514,71.6301
moda,15.00,0.0500,428,855,57.1885,78.4366
moda,15.00,0.0750,529,1057,57.6677,81.9066
moda,15.00,0.1000,565,1129,57.9073,82.9743
moda,15.00,0.1250,576,1151,57.9872,83.2602
moda,15.00,0.1500,603,1205,57.9872,84.0038
moda,15.00,0.1750,647,1293,57.9872,85.1096
moda,15.00,0.2000,676,1351,58.0671,85.6625
moda,15.00,0.2250,708,1415,58.2268,86.387
moda,15.00,0.2500,719,1437,58.147,86.6158
moda,15.00,0.2750,732,1463,58.147,86.9018
moda,15.00,0.3000,744,1487,57.7476,87.1306
moda,15.00,0.3250,760,1519,57.8275,87.3975
moda,15.00,0.3500,766,1531,57.9073,87.5119
moda,15.00,0.3750,764,1527,57.9073,87.4929
moda,15.00,0.4000,768,1535,57.8275,87.5691
moda,15.00,0.4250,770,1539,57.8275,87.6072
moda,15.00,0.4500,773,1545,57.8275,87.6835
moda,15.00,0.4750,776,1551,57.8275,87.7407
moda,15.00,0.5000,786,1571,57.5879,87.8551
moda,17.50,0.0010,8,15,51.278,52.5643
moda,17.50,0.0250,278,555,54.9521,71.9924
moda,17.50,0.0500,412,823,55.5112,78.3413
moda,17.50,0.0750,486,971,56.0703,80.9533
moda,17.50,0.1000,576,1151,56.1502,83.8513
moda,17.50,0.1250,607,1213,56.3099,84.7092
moda,17.50,0.1500,625,1249,56.4696,85.1096
moda,17.50,0.1750,653,1305,56.3099,85.796
moda,17.50,0.2000,684,1367,56.9489,86.4824
moda,17.50,0.2250,699,1397,56.869,86.7493
moda,17.50,0.2500,702,1403,56.869,86.8065
moda,17.50,0.2750,709,1417,56.9489,86.9399
moda,17.50,0.3000,732,1463,57.0288,87.4166
moda,17.50,0.3250,748,1495,56.9489,87.6263
moda,17.50,0.3500,753,1505,57.0288,87.7407
moda,17.50,0.3750,762,1523,57.1885,87.8932
moda,17.50,0.4000,775,1549,57.1086,88.0648
moda,17.50,0.4250,783,1565,57.0288,88.1792
moda,17.50,0.4500,786,1571,57.1885,88.2364
moda,17.50,0.4750,786,1571,57.1885,88.2364
moda,17.50,0.5000,792,1583,57.1086,88.2936
moda,20.00,0.0010,28,55,52.3962,55.9009
moda,20.00,0.0250,285,569,55.8307,72.0877
moda,20.00,0.0500,396,791,57.1885,76.3584
moda,20.00,0.0750,518,1035,57.3482,81.3346
moda,20.00,0.1000,572,1143,57.6677,83.0696
moda,20.00,0.1250,626,1251,58.3067,84.6711
moda,20.00,0.1500,650,1299,58.2268,85.3194
moda,20.00,0.1750,661,1321,58.3067,85.6053
moda,20.00,0.2000,684,1367,58.3866,86.082
moda,20.00,0.2250,704,1407,58.0671,86.5777
moda,20.00,0.2500,706,1411,58.0671,86.6158
moda,20.00,0.2750,722,1443,57.9872,86.9399
moda,20.00,0.3000,727,1453,58.147,87.0162
moda,20.00,0.3250,732,1463,58.2268,87.1115
moda,20.00,0.3500,742,1483,58.2268,87.3403
moda,20.00,0.3750,744,1487,58.147,87.3785
moda,20.00,0.4000,751,1501,57.9073,87.4929
moda,20.00,0.4250,758,1515,57.9872,87.5882
moda,20.00,0.4500,761,1521,58.0671,87.6454
moda,20.00,0.4750,764,1527,58.0671,87.6454
moda,20.00,0.5000,772,1543,57.9872,87.7598
moda,22.50,0.0010,5,9,51.5176,52.5262
moda,22.50,0.0250,270,539,55.1917,71.4967
moda,22.50,0.0500,437,873,56.7093,78.7798
moda,22.50,0.0750,541,1081,57.6677,82.3642
moda,22.50,0.1000,599,1197,57.508,84.0991
moda,22.50,0.1250,629,1257,57.3482,84.8618
moda,22.50,0.1500,641,1281,57.6677,85.1287
moda,22.50,0.1750,691,1381,57.1885,86.5205
moda,22.50,0.2000,724,1447,57.9073,87.2259
moda,22.50,0.2250,728,1455,57.8275,87.3022
moda,22.50,0.2500,740,1479,57.8275,87.5119
moda,22.50,0.2750,748,1495,57.8275,87.6644
moda,22.50,0.3000,761,1521,57.6677,87.9123
moda,22.50,0.3250,763,1525,57.8275,87.9504
moda,22.50,0.3500,773,1545,57.9872,88.1411
moda,22.50,0.3750,778,1555,58.0671,88.2173
moda,22.50,0.4000,786,1571,57.9872,88.3317
moda,22.50,0.4250,790,1579,57.9872,88.3889
moda,22.50,0.4500,798,1595,57.9073,88.5224
moda,22.50,0.4750,814,1627,57.8275,88.7321
moda,22.50,0.5000,817,1633,57.7476,88.7703
moda,25.00,0.0010,8,15,51.4377,52.6978
moda,25.00,0.0250,274,547,54.7923,71.6683
moda,25.00,0.0500,380,759,55.4313,76.5872
moda,25.00,0.0750,454,907,55.1118,79.3327
moda,25.00,0.1000,498,995,55.1118,80.8961
moda,25.00,0.1250,528,1055,55.1917,81.8684
moda,25.00,0.1500,602,1203,55.1118,83.8322
moda,25.00,0.1750,630,1259,55.3514,84.5377
moda,25.00,0.2000,663,1325,55.9105,85.2431
moda,25.00,0.2250,684,1367,55.6709,85.6244
moda,25.00,0.2500,702,1403,55.8307,86.0057
moda,25.00,0.2750,704,1407,55.9105,86.0439
moda,25.00,0.3000,735,1469,55.9904,86.7493
moda,25.00,0.3250,739,1477,55.9904,86.8255
moda,25.00,0.3500,749,1497,56.3898,86.9971
moda,25.00,0.3750,755,1509,56.3099,87.1115
moda,25.00,0.4000,755,1509,56.3099,87.1115
moda,25.00,0.4250,758,1515,56.3099,87.1497
moda,25.00,0.4500,760,1519,56.3099,87.1687
moda,25.00,0.4750,766,1531,56.3898,87.2641
moda,25.00,0.5000,770,1539,56.3099,87.3022
moda,27.50,0.0010,26,51,51.4377,55.9962
moda,27.50,0.0250,243,485,55.5112,70.1049
moda,27.50,0.0500,340,679,55.9105,74.6425
moda,27.50,0.0750,451,901,56.3099,78.9895
moda,27.50,0.1000,517,1033,56.0703,81.449
moda,27.50,0.1250,556,1111,56.3898,82.5548
moda,27.50,0.1500,597,1193,55.9904,83.6416
moda,27.50,0.1750,622,1243,56.23,84.2326
moda,27.50,0.2000,656,1311,56.6294,85.0143
moda,27.50,0.2250,684,1367,56.7093,85.5863
moda,27.50,0.2500,694,1387,56.7093,85.7769
moda,27.50,0.2750,699,1397,56.5495,85.8341
moda,27.50,0.3000,707,1413,56.4696,85.9676
moda,27.50,0.3250,710,1419,56.23,85.9485
moda,27.50,0.3500,719,1437,56.23,86.1582
moda,27.50,0.3750,724,1447,56.3099,86.2536
moda,27.50,0.4000,735,1469,56.3898,86.4633
moda,27.50,0.4250,743,1485,56.23,86.5396
moda,27.50,0.4500,747,1493,56.1502,86.6158
moda,27.50,0.4750,750,1499,56.3099,86.654
moda,27.50,0.5000,754,1507,56.3898,86.6921
moda,30.00,0.0010,5,9,51.5176,52.6215
moda,30.00,0.0250,306,611,55.8307,73.9752
moda,30.00,0.0500,400,799,56.869,77.674
moda,30.00,0.0750,465,929,56.23,80.1144
moda,30.00,0.1000,536,1071,56.5495,82.5357
moda,30.00,0.1250,578,1155,56.869,83.6988
moda,30.00,0.1500,594,1187,56.9489,84.0801
moda,30.00,0.1750,634,1267,57.1885,85.2812
moda,30.00,0.2000,680,1359,56.869,86.2917
moda,30.00,0.2250,703,1405,56.7891,86.7684
moda,30.00,0.2500,711,1421,56.6294,86.9209
moda,30.00,0.2750,715,1429,56.5495,86.9971
moda,30.00,0.3000,720,1439,56.6294,87.1115
moda,30.00,0.3250,732,1463,56.6294,87.3213
moda,30.00,0.3500,744,1487,56.7093,87.5119
moda,30.00,0.3750,751,1501,56.7093,87.6454
moda,30.00,0.4000,762,1523,56.7891,87.817
moda,30.00,0.4250,766,1531,56.7891,87.8742
moda,30.00,0.4500,773,1545,56.9489,87.9314
moda,30.00,0.4750,776,1551,56.869,87.9695
moda,30.00,0.5000,785,1569,56.869,88.103
moda,32.50,0.0010,5,9,51.5176,52.8503
moda,32.50,0.0250,247,493,56.6294,70.7531
moda,32.50,0.0500,434,867,56.0703,78.8561
moda,32.50,0.0750,473,945,56.3898,80.2288
moda,32.50,0.1000,524,1047,56.0703,81.9066
moda,32.50,0.1250,558,1115,56.5495,82.8408
moda,32.50,0.1500,614,1227,55.9105,84.4042
moda,32.50,0.1750,650,1299,55.8307,85.1478
moda,32.50,0.2000,694,1387,55.6709,86.3108
moda,32.50,0.2250,721,1441,55.5112,86.959
moda,32.50,0.2500,734,1467,55.6709,87.2069
moda,32.50,0.2750,744,1487,55.7508,87.3785
moda,32.50,0.3000,748,1495,55.6709,87.4547
moda,32.50,0.3250,754,1507,55.7508,87.55
moda,32.50,0.3500,759,1517,55.8307,87.6263
moda,32.50,0.3750,764,1527,55.8307,87.7026
moda,32.50,0.4000,768,1535,55.7508,87.7598
moda,32.50,0.4250,768,1535,55.7508,87.7598
moda,32.50,0.4500,770,1539,55.8307,87.817
moda,32.50,0.4750,772,1543,55.8307,87.836
moda,32.50,0.5000,773,1545,55.7508,87.836
moda,35.00,0.0010,27,53,51.4377,56.0153
moda,35.00,0.0250,262,523,55.4313,71.2488
moda,35.00,0.0500,414,827,57.3482,77.9218
moda,35.00,0.0750,557,1113,57.0288,83.3937
moda,35.00,0.1000,590,1179,57.5879,84.2707
moda,35.00,0.1250,609,1217,57.7476,84.8046
moda,35.00,0.1500,631,1261,57.6677,85.3765
moda,35.00,0.1750,666,1331,57.7476,86.2536
moda,35.00,0.2000,689,1377,57.5879,86.7302
moda,35.00,0.2250,709,1417,57.6677,87.1306
moda,35.00,0.2500,733,1465,57.6677,87.5691
moda,35.00,0.2750,749,1497,57.7476,87.8742
moda,35.00,0.3000,757,1513,57.8275,88.0267
moda,35.00,0.3250,765,1529,57.9073,88.1602
moda,35.00,0.3500,770,1539,57.8275,88.2364
moda,35.00,0.3750,772,1543,57.5879,88.2745
moda,35.00,0.4000,773,1545,57.5879,88.2936
moda,35.00,0.4250,792,1583,57.3482,88.5987
moda,35.00,0.4500,793,1585,57.3482,88.6177
moda,35.00,0.4750,799,1597,57.2684,88.7131
moda,35.00,0.5000,800,1599,57.5879,88.7512
moda,37.50,0.0010,5,9,51.5176,52.7359
moda,37.50,0.0250,268,535,56.0703,70.9247
moda,37.50,0.0500,324,647,56.7093,73.0029
moda,37.50,0.0750,547,1093,56.23,82.1163
moda,37.50,0.1000,583,1165,56.1502,83.1268
moda,37.50,0.1250,604,1207,56.4696,83.7178
moda,37.50,0.1500,642,1283,56.4696,84.7855
moda,37.50,0.1750,673,1345,56.23,85.6053
moda,37.50,0.2000,696,1391,55.9105,86.1773
moda,37.50,0.2250,725,1449,56.23,86.7684
moda,37.50,0.2500,740,1479,55.9105,87.0162
moda,37.50,0.2750,763,1525,56.3099,87.4929
moda,37.50,0.3000,765,1529,56.3099,87.531
moda,37.50,0.3250,771,1541,56.23,87.6263
moda,37.50,0.3500,781,1561,56.1502,87.7788
moda,37.50,0.3750,786,1571,56.23,87.8932
moda,37.50,0.4000,794,1587,56.3099,88.0076
moda,37.50,0.4250,794,1587,56.3099,88.0076
moda,37.50,0.4500,802,1603,56.3898,88.103
moda,37.50,0.4750,803,1605,56.3099,88.103
moda,37.50,0.5000,805,1609,55.9904,88.1602
moda,40.00,0.0010,31,61,51.5176,56.5491
moda,40.00,0.0250,289,577,56.7093,72.5834
moda,40.00,0.0500,474,947,55.2716,80.0191
moda,40.00,0.0750,509,1017,55.1917,81.2202
moda,40.00,0.1000,550,1099,55.5911,82.5167
moda,40.00,0.1250,626,1251,55.5911,84.6711
moda,40.00,0.1500,669,1337,56.4696,85.8341
moda,40.00,0.1750,677,1353,56.3898,86.0248
moda,40.00,0.2000,722,1443,56.0703,87.0353
moda,40.00,0.2250,748,1495,55.5112,87.5882
moda,40.00,0.2500,765,1529,55.5112,87.9123
moda,40.00,0.2750,771,1541,55.5911,88.0076
moda,40.00,0.3000,778,1555,55.6709,88.1411
moda,40.00,0.3250,781,1561,55.7508,88.1983
moda,40.00,0.3500,782,1563,55.7508,88.2173
moda,40.00,0.3750,783,1565,55.9105,88.2364
moda,40.00,0.4000,786,1571,55.9904,88.2745
moda,40.00,0.4250,791,1581,55.9904,88.3508
moda,40.00,0.4500,794,1587,56.1502,88.4271
moda,40.00,0.4750,802,1603,55.9904,88.5415
moda,40.00,0.5000,802,1603,55.9904,88.5415
moda,42.50,0.0010,40,79,53.2748,56.7969
moda,42.50,0.0250,224,447,55.1118,68.7703
moda,42.50,0.0500,442,883,56.3099,78.837
moda,42.50,0.0750,517,1033,56.7093,81.3727
moda,42.50,0.1000,578,1155,56.7093,83.184
moda,42.50,0.1250,616,1231,56.7891,84.3661
moda,42.50,0.1500,658,1315,56.9489,85.4337
moda,42.50,0.1750,709,1417,57.1086,86.673
moda,42.50,0.2000,736,1471,57.1885,87.3594
moda,42.50,0.2250,755,1509,57.3482,87.7407
moda,42.50,0.2500,767,1533,57.5879,87.9504
moda,42.50,0.2750,773,1545,57.4281,87.9886
moda,42.50,0.3000,777,1553,57.508,88.122
moda,42.50,0.3250,788,1575,57.4281,88.2936
moda,42.50,0.3500,797,1593,57.3482,88.4271
moda,42.50,0.3750,799,1597,57.508,88.4461
moda,42.50,0.4000,800,1599,57.508,88.4652
moda,42.50,0.4250,803,1605,57.3482,88.5033
moda,42.50,0.4500,803,1605,57.3482,88.5033
moda,42.50,0.4750,807,1613,57.3482,88.5605
moda,42.50,0.5000,809,1617,57.508,88.5987
moda,45.00,0.0010,6,11,51.5176,52.7359
moda,45.00,0.0250,273,545,55.1118,71.2297
moda,45.00,0.0500,372,743,55.0319,75.7483
moda,45.00,0.0750,465,929,54.1534,79.3518
moda,45.00,0.1000,560,1119,53.115,82.6883
moda,45.00,0.1250,576,1151,53.1949,83.1649
moda,45.00,0.1500,622,1243,53.3546,84.3661
moda,45.00,0.1750,654,1307,53.3546,85.1478
moda,45.00,0.2000,687,1373,53.4345,85.8532
moda,45.00,0.2250,704,1407,53.5144,86.2154
moda,45.00,0.2500,720,1439,53.2748,86.5014
