method,bin,confidence,leaves,treeSize,performanceValidation,performanceTraining
frecuencia,1.00,0.2250,802,1603,54.9654,88.6495
frecuencia,1.00,0.2500,826,1651,55.1963,89.1112
frecuencia,1.00,0.2750,830,1659,55.5042,89.1881
frecuencia,1.00,0.3000,836,1671,55.3503,89.3036
frecuencia,1.00,0.3250,836,1671,55.3503,89.3036
frecuencia,1.00,0.3500,838,1675,55.3503,89.3421
frecuencia,1.00,0.3750,842,1683,55.3503,89.3998
frecuencia,1.00,0.4000,842,1683,55.3503,89.3998
frecuencia,1.00,0.4250,846,1691,55.2733,89.4575
frecuencia,1.00,0.4500,850,1699,55.4273,89.5152
frecuencia,1.00,0.4750,850,1699,55.4273,89.5152
frecuencia,1.00,0.5000,850,1699,55.4273,89.5152
frecuencia,2.00,0.0010,19,37,53.2717,54.9827
frecuencia,2.00,0.0250,299,597,58.0446,73.3551
frecuencia,2.00,0.0500,492,983,58.8145,80.6464
frecuencia,2.00,0.0750,537,1073,59.0454,82.07
frecuencia,2.00,0.1000,620,1239,58.2756,84.9173
frecuencia,2.00,0.1250,649,1297,58.5065,85.7253
frecuencia,2.00,0.1500,693,1385,58.9684,86.8026
frecuencia,2.00,0.1750,708,1415,58.8915,87.1297
frecuencia,2.00,0.2000,739,1477,59.0454,87.803
frecuencia,2.00,0.2250,766,1531,59.5073,88.3417
frecuencia,2.00,0.2500,794,1587,59.8152,88.8803
frecuencia,2.00,0.2750,813,1625,59.2764,89.2459
frecuencia,2.00,0.3000,813,1625,59.2764,89.2459
frecuencia,2.00,0.3250,832,1663,58.8915,89.5922
frecuencia,2.00,0.3500,833,1665,58.8915,89.6114
frecuencia,2.00,0.3750,836,1671,58.8915,89.6499
frecuencia,2.00,0.4000,836,1671,58.8915,89.6499
frecuencia,2.00,0.4250,843,1685,58.8915,89.7461
frecuencia,2.00,0.4500,846,1691,58.7375,89.7845
frecuencia,2.00,0.4750,846,1691,58.7375,89.7845
frecuencia,2.00,0.5000,852,1703,58.7375,89.8615
frecuencia,3.00,0.0010,33,63,54.5035,55.5791
frecuencia,3.00,0.0250,338,661,57.3518,74.1054
frecuencia,3.00,0.0500,415,811,56.8899,76.9719
frecuencia,3.00,0.0750,513,1003,55.9661,80.7811
frecuencia,3.00,0.1000,624,1219,56.505,84.6095
frecuencia,3.00,0.1250,642,1253,56.428,85.0327
frecuencia,3.00,0.1500,686,1337,56.428,86.1485
frecuencia,3.00,0.1750,697,1359,56.582,86.3601
frecuencia,3.00,0.2000,772,1503,56.582,87.9377
frecuencia,3.00,0.2250,804,1563,56.8899,88.5341
frecuencia,3.00,0.2500,823,1600,56.582,88.8996
frecuencia,3.00,0.2750,837,1627,56.505,89.1881
frecuencia,3.00,0.3000,846,1644,56.736,89.3613
frecuencia,3.00,0.3250,854,1659,56.582,89.4767
frecuencia,3.00,0.3500,864,1678,56.8129,89.6499
frecuencia,3.00,0.3750,864,1678,56.8129,89.6499
frecuencia,3.00,0.4000,876,1700,56.736,89.823
frecuencia,3.00,0.4250,883,1713,56.659,89.9192
frecuencia,3.00,0.4500,886,1719,56.582,89.9577
frecuencia,3.00,0.4750,895,1735,56.659,90.0731
frecuencia,3.00,0.5000,898,1740,56.659,90.1116
frecuencia,4.00,0.0010,12,21,53.5797,54.6556
frecuencia,4.00,0.0250,297,573,55.6582,71.7776
frecuencia,4.00,0.0500,492,939,56.736,79.8961
frecuencia,4.00,0.0750,580,1097,56.428,82.5125
frecuencia,4.00,0.1000,631,1187,56.1971,83.8399
frecuencia,4.00,0.1250,643,1211,55.7352,84.1862
frecuencia,4.00,0.1500,718,1345,55.3503,86.0523
frecuencia,4.00,0.1750,743,1391,55.4273,86.5525
frecuencia,4.00,0.2000,764,1429,55.5042,86.9373
frecuencia,4.00,0.2250,781,1463,55.7352,87.2643
frecuencia,4.00,0.2500,826,1543,55.8122,88.0916
frecuencia,4.00,0.2750,829,1549,55.8122,88.1493
frecuencia,4.00,0.3000,838,1565,55.5812,88.3032
frecuencia,4.00,0.3250,844,1575,55.8891,88.3994
frecuencia,4.00,0.3500,858,1599,55.8891,88.6302
frecuencia,4.00,0.3750,863,1607,55.8122,88.688
frecuencia,4.00,0.4000,868,1615,55.7352,88.7457
frecuencia,4.00,0.4250,876,1629,55.7352,88.8611
frecuencia,4.00,0.4500,886,1645,55.8122,88.9958
frecuencia,4.00,0.4750,895,1661,55.7352,89.1112
frecuencia,4.00,0.5000,900,1669,55.7352,89.1689
frecuencia,5.00,0.0010,9,14,53.8106,54.5402
frecuencia,5.00,0.0250,239,447,56.0431,68.8534
frecuencia,5.00,0.0500,344,645,57.1978,73.3744
frecuencia,5.00,0.0750,462,863,56.736,77.5491
frecuencia,5.00,0.1000,565,1051,56.659,80.531
frecuencia,5.00,0.1250,620,1152,57.2748,82.2432
frecuencia,5.00,0.1500,641,1188,57.2748,82.7049
frecuencia,5.00,0.1750,725,1341,57.0439,84.8018
frecuencia,5.00,0.2000,792,1454,57.5828,86.0523
frecuencia,5.00,0.2250,840,1538,57.5058,86.9758
frecuencia,5.00,0.2500,872,1593,57.7367,87.5914
frecuencia,5.00,0.2750,884,1620,57.8137,87.8607
frecuencia,5.00,0.3000,897,1643,57.7367,88.0916
frecuencia,5.00,0.3250,900,1649,57.5058,88.1493
frecuencia,5.00,0.3500,919,1678,57.5058,88.4763
frecuencia,5.00,0.3750,935,1701,57.7367,88.688
frecuencia,5.00,0.4000,942,1712,57.6597,88.7841
frecuencia,5.00,0.4250,942,1712,57.6597,88.7841
frecuencia,5.00,0.4500,948,1721,57.8137,88.8611
frecuencia,5.00,0.4750,957,1736,57.7367,88.9765
frecuencia,5.00,0.5000,972,1760,57.5828,89.1497
frecuencia,6.00,0.0010,13,21,53.5797,55.1558
frecuencia,6.00,0.0250,254,467,55.9661,68.8919
frecuencia,6.00,0.0500,406,747,57.1978,74.9519
frecuencia,6.00,0.0750,537,981,57.7367,79.7037
frecuencia,6.00,0.1000,587,1073,58.1986,81.2043
frecuencia,6.00,0.1250,629,1141,58.3526,82.1277
frecuencia,6.00,0.1500,694,1255,57.8907,83.6476
frecuencia,6.00,0.1750,735,1325,57.9677,84.5902
frecuencia,6.00,0.2000,772,1391,57.7367,85.2828
frecuencia,6.00,0.2250,815,1461,57.7367,85.9561
frecuencia,6.00,0.2500,870,1555,57.6597,87.0527
frecuencia,6.00,0.2750,890,1587,57.8907,87.399
frecuencia,6.00,0.3000,937,1661,57.7367,88.1878
frecuencia,6.00,0.3250,943,1669,57.8907,88.2455
frecuencia,6.00,0.3500,952,1683,57.9677,88.3801
frecuencia,6.00,0.3750,963,1697,57.8907,88.4956
frecuencia,6.00,0.4000,974,1711,57.7367,88.611
frecuencia,6.00,0.4250,987,1729,57.8907,88.7649
frecuencia,6.00,0.4500,987,1729,57.8907,88.7649
frecuencia,6.00,0.4750,1013,1765,57.9677,89.0342
frecuencia,6.00,0.5000,1037,1801,57.8907,89.3036
frecuencia,7.00,0.0010,13,20,53.2717,54.7903
frecuencia,7.00,0.0250,210,374,56.351,65.7753
frecuencia,7.00,0.0500,425,759,56.9669,74.7018
frecuencia,7.00,0.0750,491,871,56.1201,76.7988
frecuencia,7.00,0.1000,586,1026,55.5812,79.7807
frecuencia,7.00,0.1250,693,1210,56.1201,83.0512
frecuencia,7.00,0.1500,714,1252,56.1971,83.5129
frecuencia,7.00,0.1750,781,1366,56.351,85.0135
frecuencia,7.00,0.2000,811,1421,56.1971,85.5714
frecuencia,7.00,0.2250,842,1473,56.351,86.11
frecuencia,7.00,0.2500,854,1497,56.1201,86.3409
frecuencia,7.00,0.2750,882,1543,56.2741,86.8219
frecuencia,7.00,0.3000,894,1562,56.1201,87.0142
frecuencia,7.00,0.3250,895,1564,56.1201,87.0335
frecuencia,7.00,0.3500,913,1590,56.0431,87.2836
frecuencia,7.00,0.3750,931,1616,56.0431,87.5529
frecuencia,7.00,0.4000,945,1639,55.8122,87.726
frecuencia,7.00,0.4250,955,1654,55.8122,87.8607
frecuencia,7.00,0.4500,979,1687,55.8891,88.1301
frecuencia,7.00,0.4750,996,1711,56.1201,88.3224
frecuencia,7.00,0.5000,1004,1722,56.428,88.4186
frecuencia,8.00,0.0010,17,27,53.5797,55.0212
frecuencia,8.00,0.0250,283,511,55.2733,68.6995
frecuencia,8.00,0.0500,464,843,56.8129,76.8565
frecuencia,8.00,0.0750,653,1179,57.1978,83.0127
frecuencia,8.00,0.1000,677,1227,56.9669,83.6091
frecuencia,8.00,0.1250,722,1299,56.8899,84.6479
frecuencia,8.00,0.1500,755,1359,56.659,85.5329
frecuencia,8.00,0.1750,792,1427,56.9669,86.3409
frecuencia,8.00,0.2000,814,1471,57.2748,86.7834
frecuencia,8.00,0.2250,834,1505,57.4288,87.1489
frecuencia,8.00,0.2500,846,1523,57.5058,87.3028
frecuencia,8.00,0.2750,855,1541,57.5828,87.5144
frecuencia,8.00,0.3000,875,1569,57.5828,87.7645
frecuencia,8.00,0.3250,875,1569,57.5828,87.7645
frecuencia,8.00,0.3500,895,1597,57.8907,88.0146
frecuencia,8.00,0.3750,907,1615,57.5058,88.1878
frecuencia,8.00,0.4000,929,1647,57.5058,88.4379
frecuencia,8.00,0.4250,929,1647,57.5058,88.4379
frecuencia,8.00,0.4500,950,1677,57.8907,88.6495
frecuencia,8.00,0.4750,999,1745,57.8907,89.1689
frecuencia,8.00,0.5000,999,1745,57.8907,89.1689
frecuencia,9.00,0.0010,20,32,53.2717,55.1174
frecuencia,9.00,0.0250,146,256,54.7344,61.5814
frecuencia,9.00,0.0500,346,614,55.4273,70.9311
frecuencia,9.00,0.0750,509,898,55.2733,76.5679
frecuencia,9.00,0.1000,595,1042,55.5042,79.2228
frecuencia,9.00,0.1250,649,1122,55.8122,80.4155
frecuencia,9.00,0.1500,693,1196,55.8122,81.7237
frecuencia,9.00,0.1750,770,1322,55.5042,83.359
frecuencia,9.00,0.2000,838,1444,55.3503,84.7826
frecuencia,9.00,0.2250,884,1522,55.8891,85.7253
frecuencia,9.00,0.2500,910,1567,56.428,86.2062
frecuencia,9.00,0.2750,946,1618,55.9661,86.6679
frecuencia,9.00,0.3000,947,1620,55.9661,86.6872
frecuencia,9.00,0.3250,948,1622,56.1201,86.7257
frecuencia,9.00,0.3500,973,1658,55.8891,87.0912
frecuencia,9.00,0.3750,984,1673,55.9661,87.2066
frecuencia,9.00,0.4000,1026,1729,56.1971,87.6876
frecuencia,9.00,0.4250,1036,1742,56.1971,87.7645
frecuencia,9.00,0.4500,1057,1770,56.1971,87.9569
frecuencia,9.00,0.4750,1057,1770,56.1971,87.9569
frecuencia,9.00,0.5000,1066,1781,56.1201,88.0531
frecuencia,10.00,0.0010,33,57,52.348,55.4252
frecuencia,10.00,0.0250,194,331,56.1201,64.0823
frecuencia,10.00,0.0500,378,659,56.0431,72.0469
frecuencia,10.00,0.0750,492,855,56.736,76.0292
frecuencia,10.00,0.1000,562,979,56.2741,78.2993
frecuencia,10.00,0.1250,649,1121,56.659,80.531
frecuencia,10.00,0.1500,685,1185,56.428,81.3775
frecuencia,10.00,0.1750,785,1353,56.428,83.7245
frecuencia,10.00,0.2000,859,1477,56.8129,84.975
frecuencia,10.00,0.2250,952,1639,56.505,86.8219
frecuencia,10.00,0.2500,984,1687,56.505,87.3605
frecuencia,10.00,0.2750,995,1701,56.505,87.5144
frecuencia,10.00,0.3000,1015,1733,55.9661,87.9761
frecuencia,10.00,0.3250,1037,1761,55.8122,88.2262
frecuencia,10.00,0.3500,1051,1781,55.4273,88.4379
frecuencia,10.00,0.3750,1051,1781,55.4273,88.4379
frecuencia,10.00,0.4000,1060,1791,55.4273,88.4763
frecuencia,10.00,0.4250,1080,1815,55.3503,88.688
frecuencia,10.00,0.4500,1080,1815,55.3503,88.688
frecuencia,10.00,0.4750,1100,1839,55.4273,88.8803
frecuencia,10.00,0.5000,1132,1879,55.4273,89.1689
frecuencia,11.00,0.0010,22,34,52.6559,54.4825
frecuencia,11.00,0.0250,136,226,53.6567,60.908
frecuencia,11.00,0.0500,380,651,55.3503,71.2389
frecuencia,11.00,0.0750,603,1016,55.8891,78.4533
frecuencia,11.00,0.1000,693,1169,56.659,81.1658
frecuencia,11.00,0.1250,743,1251,56.659,82.5702
frecuencia,11.00,0.1500,786,1328,56.1201,83.6091
frecuencia,11.00,0.1750,796,1348,55.8891,83.8207
frecuencia,11.00,0.2000,809,1374,56.1971,84.0708
frecuencia,11.00,0.2250,851,1440,56.428,84.9365
frecuencia,11.00,0.2500,881,1491,56.736,85.5329
frecuencia,11.00,0.2750,882,1493,56.736,85.5521
frecuencia,11.00,0.3000,901,1522,56.582,85.8407
frecuencia,11.00,0.3250,915,1541,56.351,86.0716
frecuencia,11.00,0.3500,956,1596,56.505,86.6872
frecuencia,11.00,0.3750,968,1611,56.659,86.8411
frecuencia,11.00,0.4000,981,1628,56.582,86.995
frecuencia,11.00,0.4250,1031,1692,56.505,87.5337
frecuencia,11.00,0.4500,1060,1732,56.2741,87.88
frecuencia,11.00,0.4750,1074,1751,56.351,88.0339
frecuencia,11.00,0.5000,1074,1751,56.351,88.0339
frecuencia,12.00,0.0010,31,51,53.0408,56.0793
frecuencia,12.00,0.0250,141,241,53.2717,61.6006
frecuencia,12.00,0.0500,284,477,53.8876,68.1608
frecuencia,12.00,0.0750,379,637,54.6574,71.2005
frecuencia,12.00,0.1000,489,817,54.9654,74.875
frecuencia,12.00,0.1250,659,1097,56.582,79.723
frecuencia,12.00,0.1500,726,1201,56.659,81.339
frecuencia,12.00,0.1750,750,1239,57.1209,81.7045
frecuencia,12.00,0.2000,840,1389,58.0446,83.359
frecuencia,12.00,0.2250,852,1413,58.0446,83.5898
frecuencia,12.00,0.2500,897,1483,57.4288,84.3786
frecuencia,12.00,0.2750,935,1539,57.3518,85.0519
frecuencia,12.00,0.3000,975,1589,57.5828,85.5137
frecuencia,12.00,0.3250,1006,1631,57.7367,86.0331
frecuencia,12.00,0.3500,1018,1645,57.7367,86.11
frecuencia,12.00,0.3750,1055,1689,57.5828,86.4563
frecuencia,12.00,0.4000,1078,1715,57.5828,86.6102
frecuencia,12.00,0.4250,1078,1715,57.5828,86.6102
frecuencia,12.00,0.4500,1144,1797,57.6597,87.322
frecuencia,12.00,0.4750,1198,1865,57.5828,87.8415
frecuencia,12.00,0.5000,1229,1907,57.5058,88.1301
frecuencia,13.00,0.0010,33,54,52.271,55.7715
frecuencia,13.00,0.0250,92,150,54.0416,58.9265
frecuencia,13.00,0.0500,331,551,55.8122,68.9688
frecuencia,13.00,0.0750,391,649,56.428,70.8927
frecuencia,13.00,0.1000,505,833,56.8899,74.3555
frecuencia,13.00,0.1250,640,1048,57.9677,78.0685
frecuencia,13.00,0.1500,708,1162,57.7367,79.8384
frecuencia,13.00,0.1750,751,1226,57.5828,80.6464
frecuencia,13.00,0.2000,789,1291,57.6597,81.2235
frecuencia,13.00,0.2250,883,1435,58.2756,83.0512
frecuencia,13.00,0.2500,946,1539,58.2756,84.3209
frecuencia,13.00,0.2750,998,1599,58.5065,84.8596
frecuencia,13.00,0.3000,1067,1693,58.7375,85.8599
frecuencia,13.00,0.3250,1097,1731,58.8145,86.2255
frecuencia,13.00,0.3500,1113,1752,58.9684,86.4371
frecuencia,13.00,0.3750,1141,1786,59.1224,86.7064
frecuencia,13.00,0.4000,1142,1788,59.1224,86.7257
frecuencia,13.00,0.4250,1203,1866,59.1224,87.4952
frecuencia,13.00,0.4500,1261,1938,58.9684,88.0146
frecuencia,13.00,0.4750,1274,1953,58.8915,88.1301
frecuencia,13.00,0.5000,1289,1972,58.8915,88.2455
frecuencia,14.00,0.0010,28,43,54.1186,55.2328
frecuencia,14.00,0.0250,103,157,54.7344,58.8496
frecuencia,14.00,0.0500,273,449,55.2733,66.1408
frecuencia,14.00,0.0750,390,635,56.736,70.1616
frecuencia,14.00,0.1000,464,759,57.5058,72.5279
frecuencia,14.00,0.1250,635,1017,58.3526,76.7795
frecuencia,14.00,0.1500,710,1131,58.5065,78.434
frecuencia,14.00,0.1750,882,1391,58.1986,82.0123
frecuencia,14.00,0.2000,963,1517,57.9677,83.359
frecuencia,14.00,0.2250,987,1553,57.8907,83.6668
frecuencia,14.00,0.2500,1012,1591,58.1216,84.1093
frecuencia,14.00,0.2750,1043,1629,58.0446,84.3786
frecuencia,14.00,0.3000,1098,1691,58.1216,84.7826
frecuencia,14.00,0.3250,1157,1761,57.6597,85.379
frecuencia,14.00,0.3500,1194,1811,57.6597,85.8984
frecuencia,14.00,0.3750,1224,1847,57.7367,86.2062
frecuencia,14.00,0.4000,1241,1869,57.7367,86.4179
frecuencia,14.00,0.4250,1268,1899,57.7367,86.6295
frecuencia,14.00,0.4500,1318,1963,57.6597,87.1681
frecuencia,14.00,0.4750,1353,2009,57.9677,87.5721
frecuencia,14.00,0.5000,1414,2083,57.9677,87.9761
frecuencia,15.00,0.0010,27,40,53.8106,55.2135
frecuencia,15.00,0.0250,107,174,55.2733,59.8499
frecuencia,15.00,0.0500,180,294,54.6574,62.5048
frecuencia,15.00,0.0750,387,630,56.582,70.1231
frecuencia,15.00,0.1000,513,830,56.736,73.7976
frecuencia,15.00,0.1250,547,885,56.8899,74.7018
frecuencia,15.00,0.1500,682,1090,57.2748,77.6645
frecuencia,15.00,0.1750,730,1160,57.2748,78.5687
frecuencia,15.00,0.2000,825,1298,57.1209,79.9923
frecuencia,15.00,0.2250,879,1380,57.1209,81.1081
frecuencia,15.00,0.2500,924,1444,57.3518,81.8392
frecuencia,15.00,0.2750,971,1512,57.1209,82.6664
frecuencia,15.00,0.3000,1022,1588,57.1209,83.5706
frecuencia,15.00,0.3250,1132,1730,56.9669,85.1289
frecuencia,15.00,0.3500,1194,1802,56.9669,85.8215
frecuencia,15.00,0.3750,1230,1848,56.9669,86.2639
frecuencia,15.00,0.4000,1244,1863,56.8899,86.3986
frecuencia,15.00,0.4250,1275,1899,56.736,86.7064
frecuencia,15.00,0.4500,1275,1899,56.736,86.7064
frecuencia,15.00,0.4750,1316,1955,56.8899,87.1681
frecuencia,15.00,0.5000,1333,1976,56.9669,87.322
frecuencia,16.00,0.0010,32,49,53.9646,55.5214
frecuencia,16.00,0.0250,143,229,55.9661,60.985
frecuencia,16.00,0.0500,170,269,55.8122,61.8315
frecuencia,16.00,0.0750,235,371,55.2733,63.8707
frecuencia,16.00,0.1000,375,595,55.6582,68.2378
frecuencia,16.00,0.1250,585,917,55.9661,74.798
frecuencia,16.00,0.1500,675,1055,56.0431,76.7411
frecuencia,16.00,0.1750,806,1247,56.2741,79.5883
frecuencia,16.00,0.2000,859,1325,56.582,80.3194
frecuencia,16.00,0.2250,893,1379,56.2741,81.0504
frecuencia,16.00,0.2500,900,1393,56.2741,81.1851
frecuencia,16.00,0.2750,934,1433,56.1201,81.4736
frecuencia,16.00,0.3000,1000,1523,55.5042,82.551
frecuencia,16.00,0.3250,1072,1625,55.7352,83.6283
frecuencia,16.00,0.3500,1141,1707,55.5812,84.3786
frecuencia,16.00,0.3750,1160,1731,55.5042,84.6287
frecuencia,16.00,0.4000,1256,1853,55.5812,85.6676
frecuencia,16.00,0.4250,1277,1881,55.6582,85.9177
frecuencia,16.00,0.4500,1280,1887,55.7352,85.9561
frecuencia,16.00,0.4750,1322,1943,55.6582,86.4563
frecuencia,16.00,0.5000,1356,1983,55.4273,86.7641
frecuencia,17.00,0.0010,27,38,54.1186,54.7326
frecuencia,17.00,0.0250,102,158,53.9646,58.8111
frecuencia,17.00,0.0500,142,223,54.7344,60.2155
frecuencia,17.00,0.0750,277,433,57.1209,65.1404
frecuencia,17.00,0.1000,429,677,58.1216,70.0846
frecuencia,17.00,0.1250,467,738,57.9677,71.0658
frecuencia,17.00,0.1500,643,1000,58.0446,75.2597
frecuencia,17.00,0.1750,711,1091,58.1986,76.491
frecuencia,17.00,0.2000,843,1280,57.7367,78.8188
frecuencia,17.00,0.2250,933,1400,57.5828,80.2809
frecuencia,17.00,0.2500,1017,1508,57.4288,81.1466
frecuencia,17.00,0.2750,1078,1600,57.6597,82.2624
frecuencia,17.00,0.3000,1154,1707,56.736,83.4167
frecuencia,17.00,0.3250,1210,1774,56.659,83.9169
frecuencia,17.00,0.3500,1299,1892,57.1978,84.975
frecuencia,17.00,0.3750,1343,1950,57.2748,85.5137
frecuencia,17.00,0.4000,1379,1992,57.3518,85.7638
frecuencia,17.00,0.4250,1420,2044,57.4288,86.1678
frecuencia,17.00,0.4500,1439,2067,57.4288,86.3986
frecuencia,17.00,0.4750,1472,2103,57.2748,86.6102
frecuencia,17.00,0.5000,1488,2120,57.2748,86.7257
frecuencia,18.00,0.0010,33,49,52.194,54.2901
frecuencia,18.00,0.0250,69,105,53.2717,56.4448
frecuencia,18.00,0.0500,154,227,54.5804,59.3882
frecuencia,18.00,0.0750,163,245,53.6567,59.8884
frecuencia,18.00,0.1000,319,477,55.1963,64.0439
frecuencia,18.00,0.1250,588,887,56.428,72.1047
frecuencia,18.00,0.1500,774,1147,57.0439,75.7407
frecuencia,18.00,0.1750,841,1233,57.5058,76.8757
frecuencia,18.00,0.2000,923,1349,57.8137,78.3955
frecuencia,18.00,0.2250,1040,1519,58.4296,80.5502
frecuencia,18.00,0.2500,1100,1591,58.5065,81.1851
frecuencia,18.00,0.2750,1140,1655,58.1986,81.9546
frecuencia,18.00,0.3000,1164,1687,57.6597,82.3586
frecuencia,18.00,0.3250,1202,1731,57.4288,82.8396
frecuencia,18.00,0.3500,1242,1779,57.5828,83.1858
frecuencia,18.00,0.3750,1346,1907,57.5828,84.3786
frecuencia,18.00,0.4000,1403,1973,57.7367,84.8596
frecuencia,18.00,0.4250,1420,1991,57.7367,84.9558
frecuencia,18.00,0.4500,1443,2021,57.8907,85.2443
frecuencia,18.00,0.4750,1519,2109,57.8137,85.8792
frecuencia,18.00,0.5000,1519,2109,57.8137,85.8792
frecuencia,19.00,0.0010,35,52,52.194,54.3286
frecuencia,19.00,0.0250,46,74,53.0408,55.0981
frecuencia,19.00,0.0500,135,201,53.7336,58.5995
frecuencia,19.00,0.0750,182,278,53.9646,60.0808
frecuencia,19.00,0.1000,350,529,53.9646,64.6402
frecuencia,19.00,0.1250,380,572,53.8876,65.3713
frecuencia,19.00,0.1500,641,958,55.0423,72.2201
frecuencia,19.00,0.1750,771,1133,55.5042,74.798
frecuencia,19.00,0.2000,828,1213,55.5042,75.6445
frecuencia,19.00,0.2250,983,1421,56.351,78.3378
frecuencia,19.00,0.2500,1080,1547,56.351,79.9538
frecuencia,19.00,0.2750,1173,1665,56.8129,81.3582
frecuencia,19.00,0.3000,1267,1785,57.3518,82.6087
frecuencia,19.00,0.3250,1290,1814,57.1209,82.9935
frecuencia,19.00,0.3500,1321,1859,57.1978,83.4552
frecuencia,19.00,0.3750,1405,1959,57.3518,84.2055
frecuencia,19.00,0.4000,1523,2093,57.1978,85.1866
frecuencia,19.00,0.4250,1542,2114,57.1978,85.3405
frecuencia,19.00,0.4500,1541,2112,57.2748,85.4559
frecuencia,19.00,0.4750,1580,2156,57.3518,85.7638
frecuencia,19.00,0.5000,1598,2175,57.4288,85.8792
frecuencia,20.00,0.0010,33,47,52.194,54.1747
frecuencia,20.00,0.0250,43,67,52.5789,54.7326
frecuencia,20.00,0.0500,141,209,53.1178,58.9265
frecuencia,20.00,0.0750,189,287,53.4257,60.4463
frecuencia,20.00,0.1000,300,455,54.1955,63.5437
frecuencia,20.00,0.1250,407,615,55.1193,66.0639
frecuencia,20.00,0.1500,637,949,56.1971,71.7007
frecuencia,20.00,0.1750,853,1237,56.0431,76.7026
frecuencia,20.00,0.2000,907,1309,56.0431,77.3567
frecuencia,20.00,0.2250,953,1365,56.0431,77.7992
frecuencia,20.00,0.2500,980,1401,55.8122,78.03
frecuencia,20.00,0.2750,1059,1505,56.1201,79.3767
frecuencia,20.00,0.3000,1154,1623,56.2741,80.7234
frecuencia,20.00,0.3250,1210,1699,56.351,81.6275
frecuencia,20.00,0.3500,1306,1819,56.351,83.0127
frecuencia,20.00,0.3750,1358,1887,56.659,83.686
frecuencia,20.00,0.4000,1395,1925,56.659,83.8207
frecuencia,20.00,0.4250,1501,2047,56.9669,84.6672
frecuencia,20.00,0.4500,1559,2109,56.8899,85.0904
frecuencia,20.00,0.4750,1559,2109,56.8899,85.0904
frecuencia,20.00,0.5000,1578,2129,56.8899,85.1674
